FI,EN
vastaan,against
n,of
usko,belief
heidat,them
olevan,to be
takia,because of
sisaan,in
kay,run
poika,son
jonka,whom
voimme,we can
olit,you were
asia,thing
heita,them
olivat,were
sain,I got
meille,us
piti,kept
luulin,I thought
varmaan,will
yha,still
sano,saying
hienoa,have a fine
tuon,that
ikina,ever
tuolla,there
teille,you
tiedatko,do you know
varma,sure
yhdessa,together
rakastan,I love
joo,Yeah
juttu,thing
tarvitsen,I need
kuollut,dead
siksi,because
voisi,could
oikeassa,right
ottaa,take
ajan,I drive
kerran,once
mihin,where
lahtea,go
minne,where
yhta,equally
tappaa,kill
teki,made
valmis,ready
toinen,second
tapahtuu,occur
ihmiset,people
pidan,I like
silloin,then
hauskaa,fun
voinut,unable to
tulen,I will
pitanyt,kept
tytto,girl
teilla,at your place
teidat,you
nainen,woman
rouva,Mrs
kyse,point of
kauan,long
rahaa,money
ensin,first
enka,and not
yksin,alone
joskus,sometimes
olisin,I would be
tosi,true
lisaa,more
apua,Help
tuota,make
sai,tired
oliko,Did
lopeta,end
kulta,gold
meni,went
paiva,day
pari,pair
talla,bridge
kertaa,times
tohtori,doctor
tuntuu,feel
menen,I will go
paivaa,day
jotta,so
huomenna,tomorrow
myohemmin,later
uusi,new
tavata,meet
sanoit,you said
niinko,Really
alkaa,start
halusin,I wanted
nahdaan,See you
ainoa,only
odottaa,expect
saanut,walked
jonkun,somebody
milloin,When
minakin,me too
saan,I get
etten,not
paras,best
yhden,one
silti,still
asiaa,thing
parempi,better
vie,take
jota,whom
osaa,can
viime,last
alas,down
paikka,place
tein,did
kuuluu,belong
mikaan,any
teit,you did
ihmisia,people
ketaan,anyone
ajattelin,I was thinking about
ylos,up
okei,okay
jotakin,something
alkaa,start
miehen,male
ymmarran,I understand
hetki,moment
ohi,past
ymmarra,understand
sama,same
hieman,slightly
yli,over
muista,remember
yritan,I will try
kuuntele,listen
oletteko,are you
sir,sir
tullut,become
pieni,small
oikea,right
riittaa,enough
tiennyt,known
minka,what
asioita,things like that
tulin,I came
jokin,one
isani,my father
teemme,we will do
neiti,miss
jossa,where
toivottavasti,hopefully
tarkoittaa,mean
vanha,old
kuoli,died
poissa,Absent
lapi,through
voisin,I could
muuten,otherwise
soittaa,call
halunnut,desired
otan,take
haluaisin,I would like
saanko,can I
pyydan,Please
minuun,me
puhu,talk
nopeasti,quickly
oikeasti,for real
voinko,Can I
kanssasi,with you
taysin,completely
nimi,name
kunnes,until
hyvalta,good
loytaa,find
vasta,only
tarpeeksi,enough
iso,major
toita,work
olisit,you would be
kayttaa,use
poliisi,police
asti,until
heille,them
viisi,five
ettet,you don't
irti,loose
kohta,paragraph
kuulostaa,sound
luulen,I think
kuitenkin,however
tahansa,any
isasi,your father
kiltti,kind
vuoden,year
tulossa,pending
yrittaa,try
samaa,the same
kiva,nice
ainakin,at least
tulkaa,Come on
hiljaa,shut up
mukana,with
eli,or
sellaista,like that
milta,what kind of
pakko,forced
ensimmainen,first
eilen,yesterday
nelja,four
rahat,money
kaunis,beautiful
pysy,permanent
kello,clock
liikaa,too much
kuulin,I heard
tunnen,I feel
senkin,even so
mielta,mind
varten,for
sanoo,says
mukava,nice
tarkoitat,you mean
dollaria,dollars
hitto,deuce
muut,other
kerron,I'll tell you
kotona,at home
asian,The matter
kertonut,reported
niista,there
melkein,almost
kertoi,told
nayta,show
sait,you got
silta,bridge
meista,of us
kuulla,hear
toisen,another
tunne,feeling
paska,shit
kuullut,heard
kaveri,guy
naen,I see
hieno,fine
luulet,you think
eri,different
pysty,upright
halusi,desire
jopa,even
uskoa,believe
tehdaan,do
osa,part
hauska,fun
kapteeni,captain
olimme,we were
auta,help
paitsi,except
uuden,new
kanssani,with me
aitisi,your mother
luuletko,Do you think
tana,on this
john,John
kanssaan,with his
puhut,you speak
vuoksi,because of
suoraan,directly
naytat,you look like
kaikkea,everything
aikaan,in time
paivan,day
